3,M,25,15,55117
22,M,18,15,53706
109,M,45,15,92028
111,M,35,15,55416
228,M,25,15,55455
366,M,50,15,55126
412,M,35,15,55117
534,M,25,15,55902
560,M,45,15,81335
760,M,56,15,94114
848,M,25,15,94121
874,M,45,15,26105
896,M,18,15,94015
929,M,25,15,53706
937,M,25,15,60513
999,M,25,15,62558
1116,M,25,15,92121
1151,M,25,15,46805
1218,M,56,15,13207
1243,M,35,15,92627
1267,M,25,15,12203
1391,M,35,15,20723
1528,M,25,15,94903
1623,M,50,15,07746
1703,M,18,15,77047
1742,M,25,15,08109
1887,M,56,15,92119
1930,M,25,15,94550
2069,M,56,15,79068
2104,M,45,15,60035
2292,M,50,15,13039
2466,M,25,15,94303
2501,M,25,15,37923
2527,M,35,15,36109
2561,M,25,15,06460
2579,M,35,15,91411
2585,M,45,15,64081-8102
2644,M,18,15,45215
2752,M,25,15,77006
2833,M,25,15,85003
2861,M,25,15,06510
2995,M,25,15,97333
3003,M,18,15,94606
3092,M,35,15,98108
3101,M,18,15,91101
3135,M,25,15,12345
3158,M,25,15,15217
3163,M,18,15,95616
3194,M,25,15,92648
3236,M,18,15,87111
3247,M,35,15,92649
3256,M,25,15,92111
3265,M,25,15,53704
3279,M,45,15,92880
3463,M,25,15,80301
3542,M,25,15,14803
3554,M,25,15,15203
3653,M,18,15,96661
3693,M,25,15,94062
3697,M,25,15,68516
3702,M,35,15,53095
3721,M,25,15,94065
3769,M,25,15,02446
3811,M,25,15,98103
3814,M,25,15,98102
3848,M,25,15,70809-2612
4042,M,35,15,94002
4069,M,35,15,19406
4070,M,25,15,93107
4078,M,25,15,28226
4096,M,25,15,60004
4111,M,25,15,32603
4115,M,25,15,99353
4297,M,45,15,55391
4361,M,35,15,83616
4366,M,18,15,02215
4403,M,25,15,90066
4417,M,25,15,02135
4420,M,25,15,92557
4442,M,50,15,94303
4450,M,25,15,60611
4591,M,25,15,02143
4604,M,25,15,10461
4605,M,25,15,92656
4661,M,45,15,85255
4744,M,50,15,12740
4751,M,50,15,02474
4761,M,18,15,21042
4904,M,50,15,63121
4908,M,35,15,85282
4933,M,25,15,94040
4956,M,35,15,77007
5010,M,45,15,63119
5012,M,50,15,48103
5110,M,35,15,78250
5167,M,18,15,06114
5369,M,25,15,02139
5488,M,25,15,91125
5519,M,35,15,33167
5535,M,25,15,94538
5544,M,25,15,08876
5550,M,35,15,48187
5583,M,56,15,37830
5604,M,35,15,63117
5622,M,35,15,01775
5656,M,25,15,03755
5699,M,35,15,94706
5710,M,25,15,90034
5724,M,25,15,94102
5737,M,45,15,93555
5746,M,18,15,94061
5821,M,25,15,02139
5963,M,25,15,02140
5988,M,25,15,94022
6011,M,35,15,80538
6012,M,35,15,02871
